routeId,kind,classification,entryPath,authorityPath,consumerPath,notes
surface.classic.index,UI_SURFACE,PUBLIC_ACTIVE,site/index.html,site/assets/browser/main.js,site/assets/browser/pipeline/build-worksheet-document.js,Canonical Classic public entry.
surface.classic.404_fallback,UI_SURFACE,PUBLIC_DEPRECATED,site/404.html,site/assets/browser/main.js,site/assets/browser/pipeline/build-worksheet-document.js,Publicly reachable fallback; compatible but non-canonical.
surface.pixel.beta,UI_SURFACE,PUBLIC_ACTIVE,site/pixel/index.html,site/pixel/pixel-registry-bridge.js,site/assets/browser/pipeline/build-worksheet-document.js,Public Pixel beta sharing the current pipeline.
selector.source_unit,PUBLIC_SELECTION_ROUTE,PUBLIC_ACTIVE,site/index.html#batch-a-selection-mode-select,site/assets/browser/state/config-state.js,site/assets/browser/pipeline/build-worksheet-document.js,Source-unit generation fallback.
selector.single_knowledge_point,PUBLIC_SELECTION_ROUTE,PUBLIC_ACTIVE,site/index.html#batch-a-selection-mode-select,site/modules/curriculum/registry/batch-a-selector-p03f13-extension.js,site/assets/browser/pipeline/build-worksheet-document.js,Enabled when at least one visible KnowledgePoint exists.
selector.mixed_knowledge_points_same_unit,PUBLIC_SELECTION_ROUTE,PUBLIC_ACTIVE,site/index.html#batch-a-selection-mode-select,site/modules/curriculum/registry/batch-a-selector-p03f13-extension.js,site/assets/browser/pipeline/build-worksheet-document.js,Enabled when at least two visible KnowledgePoints exist.
selector.mixed_knowledge_points_cross_unit,PUBLIC_SELECTION_ROUTE,HIDDEN_CANDIDATE,site/index.html#batch-a-selection-mode-select,site/assets/browser/main.js,,Rendered disabled and not admitted.
selector.current_public_source_registry,SOURCE_REGISTRY,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/source-units.js,CURRENT_FULL_PRODUCT_PUBLIC_SOURCE_UNITS,listBatchASourceUnits,Current browser authority with 26 sources.
selector.legacy_full_product_source_alias,SOURCE_REGISTRY,DUPLICATE_AUTHORITY,site/modules/curriculum/batch-a/source-units.js,FULL_PRODUCT_PUBLIC_SOURCE_UNITS,,Historical P01E alias.
selector.current_knowledge_point_registry,KNOWLEDGE_POINT_REGISTRY,PUBLIC_ACTIVE,site/modules/curriculum/registry/batch-a-selector-extension.js,site/modules/curriculum/registry/batch-a-selector-p03f13-extension.js,listVisibleBatchAKnowledgePoints,Current browser selector through Slice013.
selector.historical_p01e_snapshot,KNOWLEDGE_POINT_REGISTRY,INTERNAL_ONLY,site/modules/curriculum/registry/batch-a-selector-extension.js,site/modules/curriculum/registry/batch-a-selector-p01e-extension.js,Node inventory and historical regression,Non-browser historical snapshot.
controls.shared_public_profile,PUBLIC_CONTROL_ROUTE,PUBLIC_ACTIVE,site/assets/browser/public-control-ui.js,site/modules/curriculum/registry/full-product-public-control-profiles.js,Classic and 404 shared control mount,Profile-driven control visibility.
controls.specialized.g4b_u04,SPECIALIZED_UNIT_CONTROL,PUBLIC_ACTIVE,Classic / 404 / Pixel shared control surfaces,site/modules/curriculum/registry/g4b-u04-promotion.js,full-product-public-control-profiles.js,Six-mode specialized control.
controls.specialized.g5a_u02,SPECIALIZED_UNIT_CONTROL,PUBLIC_ACTIVE,Classic / 404 / Pixel shared control surfaces,site/modules/curriculum/registry/public-control-profiles.js,full-product-public-control-profiles.js,Concept numeric application reasoning profile.
controls.specialized.g5a_u08,SPECIALIZED_UNIT_CONTROL,PUBLIC_ACTIVE,site/index.html#g5a-u08-public-controls,site/modules/curriculum/registry/public-control-profiles.js,site/assets/browser/public-control-ui.js,Question type depth and context controls.
pipeline.public_build_from_state,WORKSHEET_PIPELINE,PUBLIC_ACTIVE,site/assets/browser/pipeline/build-worksheet-document.js,buildWorksheetDocumentFromState,Classic and Pixel generate buttons,Canonical public generation entry.
pipeline.shared_question_router,GENERATOR_ROUTE,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-question-router.js,current extension chain through P03F13,shared worksheet builder,Routes public PatternSpecs.
pipeline.shared_generator,GENERATOR_ROUTE,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,P03F13 browser generator extension chain,batch-a-browser-question-router.js,Current shared generator authority.
pipeline.shared_validator,VALIDATOR_ROUTE,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,P03F13 browser validator extension chain,shared worksheet builder,Current public validator route.
pipeline.application_global_authority_cutover,APPLICATION_ROUTE,PUBLIC_ACTIVE,site/assets/browser/pipeline/build-worksheet-document.js,site/modules/curriculum/global/r07-authoritative-consumer-cutover.js,application worksheet generation,Global-primary application authority.
pipeline.pbl_specialized,PBL_ROUTE,PUBLIC_ACTIVE,site/assets/browser/pipeline/build-worksheet-document.js,site/modules/curriculum/public/fifteen-unit-public-pbl-worksheet.js,questionMode=pbl,Only profile-admitted PBL sources.
renderer.preview_html,RENDERER_ROUTE,PUBLIC_ACTIVE,site/assets/browser/pipeline/render-preview-frame.js,renderPreviewFrame,Classic and Pixel preview iframe,WorksheetDocument preview renderer.
renderer.iframe_print,PRINT_ROUTE,PUBLIC_ACTIVE,site/assets/browser/pipeline/render-preview-frame.js,printPreviewFrame,Classic and Pixel print controls,User-facing HTML print and browser PDF route.
renderer.chromium_pdf_acceptance,PRINT_ACCEPTANCE_ROUTE,INTERNAL_ONLY,tools/curriculum/render-p03f-slice013-product-acceptance.mjs,Chromium acceptance workflows,CI evidence only,Not a separate public renderer.
queue.w3.slice014,FUTURE_PRODUCT_ROUTE,HIDDEN_CANDIDATE,,P03E frozen queue position 014,,Frozen until PGC-R09.
