queuePosition,routeId,selectionMode,knowledgePointIds,questionType,depthMode,contextMode,contractCapacity,liveAccepted20AcrossSeeds,liveFailureCodes,runtimeErrorCodes,seed1QuestionCount,seed1UniquePromptCount,seed2QuestionCount,seed2UniquePromptCount,patternSpecIdsObserved
1,pgc_r03_g5a_u02_5a02_mixed_026e20925977,sourceUnit,,mixed,basic,mixed,15,true,,,20,20,20,20,ps_g5a_u02_factor_relation_equivalence|ps_g5a_u02_factor_enumeration_trial_division|ps_g5a_u02_factor_pair_enumeration|ps_g5a_u02_factor_list_from_pairs|ps_g5a_u02_factor_order_and_symmetry|ps_g5a_u02_divisor_candidate_selection|ps_g5a_u02_factor_statement_judgement|ps_g5a_u02_equal_partition_all_segment_counts|ps_g5a_u02_problem_type_classification|ps_g5a_u02_common_factor_concept_identification|ps_g5a_u02_common_factor_enumeration|ps_g5a_u02_greatest_common_factor|ps_g5a_u02_maximum_equal_grouping|ps_g5a_u02_rectangle_square_side_lengths
2,pgc_r03_g5a_u02_5a02_mixed_031eefeb7711,singleKnowledgePoint,kp_g5a_u02_missing_factor_reconstruction,mixed,extended,abstract_math,16,true,,,20,20,20,20,ps_g5a_u02_missing_factor_reconstruction
3,pgc_r03_g5a_u02_5a02_mixed_0414b52fd538,sourceUnit,,mixed,mixed,daily_life,16,true,,,20,20,20,20,ps_g5a_u02_equal_partition_all_segment_counts|ps_g5a_u02_equal_partition_range_constrained_recipients|ps_g5a_u02_maximum_equal_grouping|ps_g5a_u02_possible_equal_packaging_counts
4,pgc_r03_g5a_u02_5a02_mixed_05ee727bddbc,singleKnowledgePoint,kp_g5a_u02_multi_constraint_digit_code_number_theory,mixed,mixed,mixed,8,false,DUPLICATE_PROMPT,,20,8,20,8,ps_g5a_u02_multi_constraint_digit_code
5,pgc_r03_g5a_u02_5a02_mixed_06a21fe6f5ab,singleKnowledgePoint,kp_g5a_u02_multi_constraint_digit_code_number_theory,mixed,extended,mixed,8,false,DUPLICATE_PROMPT,,20,8,20,8,ps_g5a_u02_multi_constraint_digit_code
6,pgc_r03_g5a_u02_5a02_mixed_08db83f2b8b4,singleKnowledgePoint,kp_g5a_u02_inverse_reasoning_from_complete_factor_list,mixed,extended,mixed,15,false,DUPLICATE_PROMPT,,20,18,20,18,ps_g5a_u02_complete_factor_list_unknown_values|ps_g5a_u02_complete_factor_list_statement_evaluation
7,pgc_r03_g5a_u02_5a02_mixed_0af558cd57e7,singleKnowledgePoint,kp_g5a_u02_remainder_transfer_under_divisor_relation,mixed,mixed,mixed,4,false,DUPLICATE_PROMPT,,20,15,20,15,ps_g5a_u02_remainder_transfer
8,pgc_r03_g5a_u02_5a02_mixed_108a1e1e1feb,singleKnowledgePoint,kp_g5a_u02_rectangle_equal_square_side_lengths,mixed,mixed,geometry_context,14,true,,,20,20,20,20,ps_g5a_u02_rectangle_square_side_lengths
9,pgc_r03_g5a_u02_5a02_mixed_11dc78975064,singleKnowledgePoint,kp_g5a_u02_missing_factor_reconstruction,mixed,mixed,abstract_math,16,true,,,20,20,20,20,ps_g5a_u02_missing_factor_reconstruction
10,pgc_r03_g5a_u02_5a02_mixed_14b4855a8de3,singleKnowledgePoint,kp_g5a_u02_number_theory_problem_type_discrimination,mixed,mixed,abstract_math,15,true,,,20,20,20,20,ps_g5a_u02_problem_type_classification
11,pgc_r03_g5a_u02_5a02_mixed_155b7a11a4d1,sourceUnit,,mixed,basic,daily_life,14,false,DUPLICATE_PROMPT,,20,20,20,19,ps_g5a_u02_equal_partition_all_segment_counts|ps_g5a_u02_maximum_equal_grouping
12,pgc_r03_g5a_u02_5a02_mixed_1a05bd4b0d85,singleKnowledgePoint,kp_g5a_u02_rectangle_equal_square_side_lengths,mixed,basic,mixed,14,true,,,20,20,20,20,ps_g5a_u02_rectangle_square_side_lengths
13,pgc_r03_g5a_u02_5a02_mixed_1a0befab7c87,singleKnowledgePoint,kp_g5a_u02_factor_pair_order_and_symmetry,mixed,basic,abstract_math,8,true,,,20,20,20,20,ps_g5a_u02_factor_order_and_symmetry
14,pgc_r03_g5a_u02_5a02_mixed_1e3c38a51eb2,singleKnowledgePoint,kp_g5a_u02_divisibility_factor_membership_judgement,mixed,basic,mixed,14,false,DUPLICATE_PROMPT,,20,18,20,19,ps_g5a_u02_divisor_candidate_selection|ps_g5a_u02_factor_statement_judgement
15,pgc_r03_g5a_u02_5a02_mixed_29f71ea95f6c,singleKnowledgePoint,kp_g5a_u02_factor_enumeration_by_division,mixed,mixed,mixed,8,true,,,20,20,20,20,ps_g5a_u02_factor_enumeration_trial_division
16,pgc_r03_g5a_u02_5a02_mixed_2b5fbc4d23b5,singleKnowledgePoint,kp_g5a_u02_common_factor_enumeration,mixed,basic,mixed,9,true,,,20,20,20,20,ps_g5a_u02_common_factor_enumeration
17,pgc_r03_g5a_u02_5a02_mixed_2f3620879b26,mixedKnowledgePointsSameUnit,kp_g5a_u02_common_factor_concept|kp_g5a_u02_common_factor_enumeration|kp_g5a_u02_divisibility_factor_membership_judgement|kp_g5a_u02_equal_partition_factor_application|kp_g5a_u02_factor_criterion_multiplication_division_equivalence|kp_g5a_u02_factor_enumeration_by_division|kp_g5a_u02_factor_enumeration_by_multiplication_pairs|kp_g5a_u02_factor_pair_order_and_symmetry|kp_g5a_u02_greatest_common_factor|kp_g5a_u02_inverse_reasoning_from_complete_factor_list|kp_g5a_u02_maximum_equal_grouping_gcf_application|kp_g5a_u02_missing_factor_reconstruction|kp_g5a_u02_multi_constraint_digit_code_number_theory|kp_g5a_u02_number_theory_problem_type_discrimination|kp_g5a_u02_possible_equal_packaging_common_factor_application|kp_g5a_u02_rectangle_equal_square_side_lengths|kp_g5a_u02_remainder_transfer_under_divisor_relation|kp_g5a_u02_square_tile_area_possibilities,mixed,extended,daily_life,14,false,DUPLICATE_PROMPT,,20,20,20,19,ps_g5a_u02_equal_partition_range_constrained_recipients|ps_g5a_u02_possible_equal_packaging_counts
18,pgc_r03_g5a_u02_5a02_mixed_319cdba8c6af,singleKnowledgePoint,kp_g5a_u02_equal_partition_factor_application,mixed,extended,mixed,5,false,DUPLICATE_PROMPT,,20,17,20,17,ps_g5a_u02_equal_partition_range_constrained_recipients
19,pgc_r03_g5a_u02_5a02_mixed_336c253725d2,singleKnowledgePoint,kp_g5a_u02_divisibility_factor_membership_judgement,mixed,mixed,abstract_math,14,false,DUPLICATE_PROMPT,,20,18,20,19,ps_g5a_u02_divisor_candidate_selection|ps_g5a_u02_factor_statement_judgement
20,pgc_r03_g5a_u02_5a02_mixed_3682c45e7772,singleKnowledgePoint,kp_g5a_u02_factor_enumeration_by_multiplication_pairs,mixed,mixed,abstract_math,8,true,,,20,20,20,20,ps_g5a_u02_factor_pair_enumeration|ps_g5a_u02_factor_list_from_pairs
21,pgc_r03_g5a_u02_5a02_mixed_36dda82cdca7,singleKnowledgePoint,kp_g5a_u02_greatest_common_factor,mixed,mixed,mixed,9,true,,,20,20,20,20,ps_g5a_u02_greatest_common_factor
22,pgc_r03_g5a_u02_5a02_mixed_375cad5f2591,mixedKnowledgePointsSameUnit,kp_g5a_u02_common_factor_concept|kp_g5a_u02_common_factor_enumeration|kp_g5a_u02_divisibility_factor_membership_judgement|kp_g5a_u02_equal_partition_factor_application|kp_g5a_u02_factor_criterion_multiplication_division_equivalence|kp_g5a_u02_factor_enumeration_by_division|kp_g5a_u02_factor_enumeration_by_multiplication_pairs|kp_g5a_u02_factor_pair_order_and_symmetry|kp_g5a_u02_greatest_common_factor|kp_g5a_u02_inverse_reasoning_from_complete_factor_list|kp_g5a_u02_maximum_equal_grouping_gcf_application|kp_g5a_u02_missing_factor_reconstruction|kp_g5a_u02_multi_constraint_digit_code_number_theory|kp_g5a_u02_number_theory_problem_type_discrimination|kp_g5a_u02_possible_equal_packaging_common_factor_application|kp_g5a_u02_rectangle_equal_square_side_lengths|kp_g5a_u02_remainder_transfer_under_divisor_relation|kp_g5a_u02_square_tile_area_possibilities,mixed,mixed,geometry_context,14,true,,,20,20,20,20,ps_g5a_u02_rectangle_square_side_lengths|ps_g5a_u02_square_tile_area_possibilities
23,pgc_r03_g5a_u02_5a02_mixed_3a795d0898ab,singleKnowledgePoint,kp_g5a_u02_inverse_reasoning_from_complete_factor_list,mixed,mixed,abstract_math,15,false,DUPLICATE_PROMPT,,20,18,20,18,ps_g5a_u02_complete_factor_list_unknown_values|ps_g5a_u02_complete_factor_list_statement_evaluation
24,pgc_r03_g5a_u02_5a02_mixed_3c54147b154d,sourceUnit,,mixed,basic,geometry_context,14,true,,,20,20,20,20,ps_g5a_u02_rectangle_square_side_lengths
25,pgc_r03_g5a_u02_5a02_mixed_3f727a5fd5a1,singleKnowledgePoint,kp_g5a_u02_square_tile_area_possibilities,mixed,extended,geometry_context,14,true,,,20,20,20,20,ps_g5a_u02_square_tile_area_possibilities
26,pgc_r03_g5a_u02_5a02_mixed_40ab80775d6e,singleKnowledgePoint,kp_g5a_u02_factor_enumeration_by_division,mixed,basic,abstract_math,8,true,,,20,20,20,20,ps_g5a_u02_factor_enumeration_trial_division
27,pgc_r03_g5a_u02_5a02_mixed_420c0a74a1ac,singleKnowledgePoint,kp_g5a_u02_inverse_reasoning_from_complete_factor_list,mixed,extended,abstract_math,15,false,DUPLICATE_PROMPT,,20,18,20,18,ps_g5a_u02_complete_factor_list_unknown_values|ps_g5a_u02_complete_factor_list_statement_evaluation
28,pgc_r03_g5a_u02_5a02_mixed_4295ef463e5e,singleKnowledgePoint,kp_g5a_u02_factor_criterion_multiplication_division_equivalence,mixed,basic,abstract_math,8,true,,,20,20,20,20,ps_g5a_u02_factor_relation_equivalence
29,pgc_r03_g5a_u02_5a02_mixed_44c78b232992,singleKnowledgePoint,kp_g5a_u02_factor_pair_order_and_symmetry,mixed,basic,mixed,8,true,,,20,20,20,20,ps_g5a_u02_factor_order_and_symmetry
30,pgc_r03_g5a_u02_5a02_mixed_4da24bd603ce,sourceUnit,,mixed,extended,mixed,12,false,DUPLICATE_PROMPT,,20,18,20,17,ps_g5a_u02_missing_factor_reconstruction|ps_g5a_u02_equal_partition_range_constrained_recipients|ps_g5a_u02_complete_factor_list_unknown_values|ps_g5a_u02_complete_factor_list_statement_evaluation|ps_g5a_u02_remainder_transfer|ps_g5a_u02_possible_equal_packaging_counts|ps_g5a_u02_square_tile_area_possibilities|ps_g5a_u02_multi_constraint_digit_code
31,pgc_r03_g5a_u02_5a02_mixed_4ebebca1b6c8,singleKnowledgePoint,kp_g5a_u02_common_factor_enumeration,mixed,mixed,abstract_math,9,true,,,20,20,20,20,ps_g5a_u02_common_factor_enumeration
32,pgc_r03_g5a_u02_5a02_mixed_5857e8e469fd,singleKnowledgePoint,kp_g5a_u02_greatest_common_factor,mixed,basic,abstract_math,9,true,,,20,20,20,20,ps_g5a_u02_greatest_common_factor
33,pgc_r03_g5a_u02_5a02_mixed_6e2d05b085b1,singleKnowledgePoint,kp_g5a_u02_common_factor_enumeration,mixed,basic,abstract_math,9,true,,,20,20,20,20,ps_g5a_u02_common_factor_enumeration
34,pgc_r03_g5a_u02_5a02_mixed_6f6b686bb61d,sourceUnit,,mixed,mixed,geometry_context,14,true,,,20,20,20,20,ps_g5a_u02_rectangle_square_side_lengths|ps_g5a_u02_square_tile_area_possibilities
